city,country,pub_location,PlaceID,Latitudes,Longitudes
"San Antonio, TX",United States,"San Antonio, TX, United States",san_antonio_tx_united_states,29.4246,-98.495141
Surrey,England,"Surrey, England",surrey_england,51.25,-0.3333
Woodbridge,United States,"Woodbridge, United States",woodbridge_united_states,38.658172,-77.249705
Jupiter,United States,"Jupiter, United States",jupiter_united_states,26.934225,-80.094209
Austin,United States,"Austin, United States",austin_united_states,30.271129,-97.7437
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States",coconut_creek_fl_united_states,26.251748,-80.178935
,,",",,N/A,N/A
Basseterre,St. Kitts,"Basseterre, St.Kitts",basseterre_st.kitts,17.29833,-62.73417
Largo,United States,"Largo, United States",largo_united_states,27.909467,-82.787324
"Fairfax, VA",United States,"Fairfax, VA, United States",fairfax_va_united_states,38.846224,-77.306373
Basseterre,St. Kitts,"Basseterre, St. Kitts & Nevis",basseterre_st._kitts_&_nevis,17.29833,-62.73417
San Juan,Trinidad & Tobago,"San Juan, Trinidad & Tobago",san_juan_trinidad_&_tobago,10.645622,-61.460494
The Morne,St. Lucia,"The Morne, St. Lucia",the_morne_st._lucia,51.949921,11.556901
"Evanston, IL",United States,"Evanston, IL, United States",evanston_il_united_states,42.044739,-87.693046
Melbourne,Australia,"Melbourne, Australia",melbourne_australia,-37.8142,144.9632
San Fernando,Trinidad & Tobago,"San Fernando, Trinidad & Tobago",san_fernando_trinidad_&_tobago,10.280098,-61.454059
The Morme,St. Lucia,"The Morme, St. Lucia",the_morme_st._lucia,27.911547,-15.54052
Portsmouth,Dominica,"Portsmouth, Dominica",portsmouth_dominica,50.810279,-1.059345
Jackson,United States,"Jackson, United States",jackson_united_states,42.246504,-84.401696
Walton-on-Thames,England,"Walton-on-Thames, England",walton_on_thames_england,51.385684,-0.419814
Oakland,United States,"Oakland, United States",oakland_united_states,37.804456,-122.27136
Old Saybrook,United States,"Old Saybrook, United States",old_saybrook_united_states,41.291765,-72.376196
Modena,Italy,"Modena, Italy",modena_italy,44.645889,10.925571
Burbank,United States,"Burbank, United States",burbank_united_states,34.181648,-118.32586
Carshalton,England,"Carshalton, England",carshalton_england,51.365788,-0.161086
Bridgend,Wales,"Bridgend, Wales",bridgend_wales,51.504984,-3.575667
Chengdu,China,"Chengdu, China",chengdu_china,30.66361,104.06667
"Thousand Oaks, CA",United States,"Thousand Oaks, CA, United States",thousand_oaks_ca_united_states,34.170561,-118.83759
"Houston, TX",United States,"Houston, TX, United States",houston_tx_united_states,29.758938,-95.367697
Crows Nest,Australia,"Crows Nest, Australia",crows_nest_australia,-33.8261,151.205
Carlsbad,United States,"Carlsbad, United States",carlsbad_united_states,33.158093,-117.3506
Tunapuna,Trinidad & Tonbago,"Tunapuna, Trinidad & Tonbago",tunapuna_trinidad_&_tonbago,10.591053,-61.343728
Parker,United States,"Parker, United States",parker_united_states,39.518451,-104.76126
Portsmouth,United States,"Portsmouth, United States",portsmouth_united_states,36.84442,-76.3533
"Duluth, MN",United States,"Duluth, MN, United States",duluth_mn_united_states,46.772932,-92.125122
Wilmore,United States,"Wilmore, United States",wilmore_united_states,37.864041,-84.660199
D'Abadie,Trinidad & Tobago,"D'Abadie, Trinidad & Tobago",d'abadie_trinidad_&_tobago,10.687866,-61.615387
Peterborough,England,"Peterborough, England",peterborough_england,52.572577,-0.242734
Tunapuna,Trinidad & Tobago,"Tunapuna, Trinidad & Tobago",tunapuna_trinidad_&_tobago,10.591053,-61.343728
D'Abadie,Trindad & Tobago,"D'Abadie, Trindad & Tobago",d'abadie_trindad_&_tobago,10.687866,-61.615387
Northhampton,England,"Northhampton , England",northhampton__england,52.240889,-0.887137
"Westminster, LDN",England,"Westminster, LDN, England",westminster_ldn_england,52.7684313,-0.3867413
NA,France,"NA, France",na_france,39.470182,-0.375573
Pretoria,South Africa,"Pretoria, South Africa",pretoria_south_africa,-25.7484,28.154
"Philadelphia, PA",United States,"Philadelphia, PA, United States",philadelphia_pa_united_states,39.952724,-75.163526
"Clarion, PA",United States,"Clarion, PA, United States",clarion_pa_united_states,41.214898,-79.385705
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States",lehigh_acres_fl_united_states,26.609151,-81.652407
"Kansas City, MO",United States,"Kansas City, MO, United States",kansas_city_mo_united_states,39.100105,-94.578142
Osnabrück,Germany,"Osnabrück, Germany",osnabrück_germany,52.27196,8.047635
"Medway, MA",United States,"Medway, MA, United States",medway_ma_united_states,42.141764,-71.396726
"Scott's Valley, CA",United States,"Scott's Valley, CA, United States",scott's_valley_ca_united_states,37.05106,-122.01468
Harmondsworth,England,"Harmondsworth, England",harmondsworth_england,51.4962091,-0.4688757
Concord,Canada,"Concord, Canada",concord_canada,43.802557,-79.472085
"Caernarfon ([Penygroes, Caernarfon, Gwynedd])",,"Caernarfon ([Penygroes, Caernarfon, Gwynedd]),",caernarfon_([penygroes_caernarfon_gwynedd]),53.143912,-4.275035
"Portsmouth, NH",England,"Portsmouth, NH, England",portsmouth_nh_england,43.03984,-70.776282
